RELAB ID	DL_CMP-051	DL-CMP-057	DL-CMP-058	DL-CMP-055	DL-CMP-050	DL-CMP-054	DL-CMP-086	DL-CMP-060	DL-CMP-072	DL-CMP-087	DL-CMP-084	DL-CMP-078	DL-CMP-067	DL-CMP-073	DL-CMP-068	DL-CMP-074	DL-CMP-066	DL-CMP-085	DL-CMP-032	DL-CMP-077	DL-CMP-075	DL-CMP-079	DL-CMP-071	DL-CMP-076	DL-CMP-070
Wavelength (um)	051 - Wo27 En39 Fs34	057 - Wo25 En36 Fs39	058 - Wo27 En28 Fs45	055 - Wo26 En18 Fs56	050 - Wo23 En19 Fs58	054 - Wo23 En6 Fs70	086 - Wo25 Fs75	060- Wo30 En70	072 - Wo30 En70	087 - Wo29 Fs71	084 - Wo35 Fs65	078 - Wo38 En63	067 - Wo39 En52 Fs9	073 - Wo39 En36 Fs25	068 - Wo38 En29 Fs33	074 - Wo39 En24 Fs37	066 - Wo38 En15 Fs48	085 - Wo39 Fs61	032 - Wo46 En54	077 - Wo45 En52 Fs3	075 - Wo45 En46 Fs9	079 - Wo47 En38 Fs15	071 - Wo46 En23 Fs31	076 - Wo46 En18 Fs35	070 - Wo45 En14 Fs41
0.3	0.07353	0.05204	0.10695	0.06466	0.04992	0.03985	0.0805	0.678	0.61234	0.10222	0.11131	0.709	0.09959	0.05868	0.05933	0.05257	0.05821	0.158	0.82328	0.24866	0.15653	0.04088	0.04956	0.03594	0.04221
0.305	0.06274	0.05087	0.10369	0.05682	0.04093	0.0396	0.07097	0.68585	0.62903	0.08809	0.09777	0.71044	0.10367	0.06192	0.05702	0.0506	0.04741	0.13899	0.84215	0.26183	0.15351	0.04173	0.0425	0.03547	0.03468
0.31	0.05842	0.0508	0.09942	0.04686	0.03675	0.03594	0.06452	0.693	0.64529	0.07883	0.08538	0.7168	0.10352	0.05412	0.05334	0.05124	0.04783	0.11491	0.85073	0.27256	0.15952	0.04082	0.044	0.03581	0.03253
0.315	0.05753	0.04394	0.10551	0.04515	0.0339	0.03239	0.05856	0.69356	0.65269	0.06778	0.07583	0.71468	0.1081	0.05551	0.05315	0.05148	0.0457	0.09928	0.86358	0.28606	0.16449	0.03882	0.04416	0.03616	0.0316
0.32	0.05752	0.04726	0.10769	0.04612	0.03398	0.03188	0.04867	0.69666	0.66035	0.06129	0.0639	0.7233	0.11214	0.05604	0.05426	0.05028	0.04543	0.09019	0.87562	0.29349	0.17128	0.04033	0.0429	0.0361	0.0299
0.325	0.05868	0.04699	0.11017	0.04739	0.03276	0.03148	0.04516	0.70627	0.67334	0.05436	0.06424	0.73234	0.11691	0.05946	0.05526	0.05171	0.04706	0.08155	0.8777	0.3094	0.17728	0.04112	0.04405	0.03776	0.03232
0.33	0.06305	0.05058	0.11682	0.04823	0.03252	0.03089	0.04629	0.70864	0.67867	0.04967	0.05807	0.74494	0.12276	0.0597	0.05936	0.05407	0.05091	0.07773	0.88714	0.32297	0.1861	0.04092	0.04527	0.03804	0.03195
0.335	0.0684	0.05419	0.12515	0.05132	0.03281	0.03016	0.04557	0.71661	0.6865	0.05132	0.0575	0.75124	0.13016	0.06756	0.06281	0.05775	0.0546	0.07862	0.89068	0.34038	0.19647	0.04286	0.04757	0.0392	0.03366
0.34	0.074	0.05892	0.13795	0.05598	0.03506	0.0307	0.04455	0.71674	0.68834	0.05111	0.05641	0.7589	0.13836	0.07151	0.06797	0.06272	0.05994	0.08188	0.89153	0.36129	0.2094	0.04338	0.05103	0.04059	0.03543
0.345	0.08215	0.06427	0.1511	0.06069	0.03794	0.03161	0.0433	0.72039	0.68938	0.05064	0.05812	0.76276	0.14905	0.07754	0.07539	0.06924	0.06721	0.08672	0.89742	0.38174	0.2254	0.0451	0.05563	0.04324	0.03994
0.35	0.09242	0.0702	0.16825	0.06734	0.04145	0.03221	0.03882	0.72259	0.69178	0.04454	0.05212	0.76955	0.15887	0.08405	0.08326	0.0755	0.07483	0.08301	0.89916	0.40295	0.24493	0.04662	0.05964	0.04454	0.04322
0.355	0.10569	0.07972	0.18962	0.07796	0.04771	0.0336	0.03524	0.72494	0.69529	0.03908	0.04776	0.77152	0.17208	0.09334	0.095	0.08372	0.08502	0.08091	0.90437	0.42651	0.26719	0.0495	0.06599	0.04696	0.04887
0.36	0.12251	0.0898	0.21496	0.09136	0.05641	0.03563	0.03468	0.72906	0.69542	0.03973	0.04721	0.77507	0.1874	0.10309	0.10974	0.09365	0.09846	0.08611	0.90815	0.45116	0.29131	0.05332	0.07329	0.04898	0.0554
