RELAB ID	DL-CMP-023	DL-CMP-028	DL-CMP-024	DL-CMP-020	DL-CMP-021	DL-CMP-061	DL-CMP-022	DL-CMP-003	DL-CMP-026	DL-CMP-004	DL-CMP-025	DL-CMP-001	DL-CMP-064	DL-CMP-065	DL-CMP-002	DL-CMP-027
Wavelength (um)	023 - En30 Fs70	028 - En25 Fs75	024 - En17 Fs83	020 - En17 Fs83	021 - En8 Fs92	061 - Fs100	022 - En75 Fs25	003 - En75 Fs25	026 - En70 Fs30	004 - En50 Fs50	025 - En35 Fs65	001 - En100	064 - En97.5Fs2.5	065 - En90 Fs10	002 - En80 Fs20	027 - En80 Fs20
0.3	0.03257	0.03782	0.03818	0.03898	0.03975	0.03944	0.22241	0.21633	0.16686	0.0725	0.0302	0.54735	0.48647	0.4353	0.1716	0.19757
0.305	0.03243	0.03372	0.03557	0.03391	0.0386	0.04314	0.23132	0.21958	0.17145	0.06791	0.04194	0.54459	0.48942	0.47114	0.17856	0.19919
0.31	0.02899	0.03269	0.0354	0.03291	0.03452	0.03888	0.23587	0.22683	0.17531	0.06731	0.04303	0.54158	0.49628	0.47531	0.18439	0.20501
0.315	0.02886	0.03053	0.03551	0.03284	0.03546	0.03687	0.2502	0.23951	0.18434	0.07085	0.04252	0.5459	0.50956	0.48843	0.19341	0.21591
0.32	0.02889	0.03079	0.03521	0.03356	0.03512	0.03712	0.26505	0.25521	0.19847	0.07436	0.04468	0.55116	0.52384	0.50759	0.20958	0.23259
0.325	0.0278	0.03089	0.03437	0.03431	0.03659	0.03605	0.28496	0.27368	0.21359	0.07907	0.04539	0.55277	0.54348	0.52195	0.22821	0.25238
0.33	0.02845	0.03163	0.03492	0.03508	0.03621	0.03566	0.31303	0.30139	0.23516	0.08704	0.04855	0.55669	0.56195	0.54527	0.25454	0.28048
0.335	0.02877	0.03246	0.03446	0.03707	0.03803	0.03544	0.34223	0.33011	0.26222	0.09739	0.05407	0.55942	0.57026	0.56654	0.28615	0.31161
0.34	0.0301	0.03327	0.03845	0.0389	0.0387	0.03646	0.3722	0.36108	0.29112	0.11077	0.05855	0.56264	0.5809	0.5844	0.3198	0.34583
